Species,PC1.score,PC2.score,PC1s.axis,PC2s.axis,Tooth.Height,AP.diameter.50,a.50,LL.diameter.50,b.50,Robust.metric.50,LL.moment.Ix.SHAKE.50,AP.moment.Iy.PULL.50,Stressx.SHAKE.50,Strengthx.SHAKE.50,Stressx.300N.SHAKE.50,Strengthx.300N.SHAKE.50,Stressy.PULL.50,Strengthy.PULL.50,Stressy.300N.PULL.50,Strengthy.300N.PULL.50,Angled.Ratio.50,AP.diameter.90,a.90,LL.diameter.90,b.90,Robust.metric.90,LL.moment.Ix.SHAKE.90,AP.moment.Iy.PULL.90,Stressx.SHAKE.90,Strengthx.SHAKE.90,Stressx.300N.SHAKE.90,Strengthx.300N.SHAKE.90,Stressy.PULL.90,Strengthy.PULL.90,Stressy.300N.PULL.90,Strengthy.300N.PULL.90,Angled.Ratio.90,BITE_2,PULL_50,SHAKE_50,BITE_50,BITE_70,SHAKE_90,PULL_90,BITE_2_60,BITE_2_120,BITE_2_60_LL_90,BITE_2_120_LL_90
Ailuropoda.melanoleuca,0.152190901,-0.034657033,0.152190901,NA,16.2,7.73,3.865,6.04,3.02,0.373799006,83.61038216,136.9447284,0.064157564,15.5866268,175.5427929,0.005696617,0.03060696,32.67230712,137.1640969,0.007290538,1.279801325,11.6,5.8,8.14,4.07,0.531583048,307.1150523,623.6892683,0.012960433,77.15791747,64.40648171,0.015526388,0.004478357,223.2961578,45.19558285,0.022126056,1.425061425,18.2587,31.79632,39.8597,9.007888,19.98908,20.38192,15.6932,43.36515,42.0527,52.01713,44.31726
Canis.dingo,-0.032095155,-0.013762097,-0.032095155,-0.013762097,19,6.78,3.39,5.36,2.68,0.28118269,51.25001085,82.00187259,0.138332697,7.228948899,298.0682296,0.003354937,0.06834868,14.63086042,235.6409603,0.004243744,1.264925373,9.32,4.66,6.32,3.16,0.357979235,115.4880493,251.1508857,0.052063034,19.2074861,155.9641894,0.006411728,0.016234278,61.59805933,105.7611241,0.00945527,1.474683544,20.1049,57.4243,83.47244,16.59998,20.07049,46.74794,29.75156,65.26078,57.79772,79.24472,74.30493
Didelphis.marsupialis,0.032853423,0.024417803,NA,0.024417803,16.7,6.53,3.265,5.27,2.635,0.311308062,46.91534622,72.03110178,0.135089292,7.402511215,281.3866051,0.003553829,0.071008972,14.08272738,227.0914868,0.004403512,1.239089184,11.17,5.585,6.24,3.12,0.443044501,133.2222735,426.8880599,0.040177697,24.88943074,117.3317313,0.008522844,0.007004535,142.7646596,65.54610594,0.015256436,1.790064103,27.902,39.63161,69.2356,18.97394,27.67403,37.1939,19.29837,68.02258,43.23535,76.72528,68.97122
Eira.barbara,0.01408188,-0.023600861,0.01408188,-0.023600861,19.1,7.03,3.515,5.36,2.68,0.284820753,53.13976051,91.41146379,0.134115502,7.45625959,288.9813551,0.003460431,0.059443911,16.8225809,220.3328682,0.004538587,1.311567164,9.75,4.875,7.55,3.775,0.398095581,205.9754068,343.503129,0.02456411,40.70979899,105.0161781,0.009522342,0.01140586,87.67422795,81.32021994,0.012297065,1.291390728,19.9783,47.89876,67.5646,11.55216,20.05631,35.75462,25.11205,60.68525,58.04281,75.16432,69.94262
Leopardus.paradalis,-0.0227309,-0.045491082,NA,-0.045491082,20.19,7.26,3.63,4.84,2.42,0.260195399,40.40569715,90.91281858,0.20648017,4.843080094,362.7691399,0.002756574,0.06117931,16.34539532,241.8460932,0.004134861,1.5,9.73,4.865,7.29,3.645,0.369682426,185.039874,329.6369961,0.0299346,33.40615852,119.313554,0.008381277,0.012589762,79.42961792,89.39319722,0.011186534,1.334705075,26.7728,53.48516,77.43599,11.9622,26.69605,38.73241,26.3564,63.08798,81.57315,107.4659,95.61906
Procyon.lotor,-0.050169261,-0.097464083,NA,NA,20.5,7.2,3.6,5.05,2.525,0.260677182,45.51730386,92.5249302,0.178367592,5.606399622,341.1614635,0.002931163,0.061544974,16.24828042,239.2868598,0.004179084,1.425742574,10.27,5.135,7.04,3.52,0.367589105,175.8969544,374.3293573,0.033109519,30.20279411,123.072057,0.008125321,0.010664967,93.76493902,84.36487649,0.011853274,1.458806818,23.9809,70.96163,87.37496,12.6042,24.0804,45.66176,35.02836,86.4827,88.52577,105.9327,97.46064
Panthera.uncia,-0.079838006,-0.032153462,-0.079838006,NA,21.35,6.59,3.295,5.06,2.53,0.23969834,41.90895809,71.08478584,0.201358744,4.966260607,386.663156,0.00258623,0.091151916,10.97069646,296.8915887,0.003368233,1.302371542,9.27,4.635,7.07,3.535,0.336044379,160.8080828,276.4575882,0.037557838,26.6256006,140.7993591,0.007102305,0.016661712,60.01784175,107.384193,0.009312358,1.311173975,26.46755,66.9694,90.5648,13.74019,26.50672,47.5885,34.8121,89.345,93.51434,119.4304,107.006
Sarcophilus.harrisii,0.040996281,-0.027919092,NA,NA,18.5,6.55,3.275,6.67,3.335,0.31663344,95.40885863,92.0067378,0.058141628,17.19938073,193.9992813,0.005154658,0.061396101,16.28767926,197.5534666,0.005061921,0.982008996,9.79,4.895,8.65,4.325,0.440831492,311.0290207,398.4135328,0.013752597,72.71354132,77.17527435,0.012957518,0.00948604,105.4180672,68.18857233,0.014665214,1.131791908,20.996,45.83518,48.086,9.64905,20.77813,25.6485,22.92241,55.88352,68.5045,64.21825,52.37546
Ursus.arctos,0.068615814,0.003335191,0.068615814,0.003335191,17.95,7,3.5,5.63,2.815,0.309944337,61.31872603,94.79215871,0.103990324,9.616279319,247.2128171,0.004045098,0.05410333,18.48315072,198.8297371,0.005029429,1.243339254,9.46,4.73,7.93,3.965,0.427624569,231.5690943,329.546342,0.019549726,51.15161331,92.20369007,0.010845553,0.011515607,86.83867395,77.29125394,0.012938074,1.192938209,22.34384,38.9884,50.85903,9.91346,22.4893,26.12875,19.2113,59.0553,57.32633,73.00037,61.46903
Vulpes.vulpes,-0.128561073,0.032069573,NA,NA,19.32,5.95,2.975,4.56,2.28,0.238934423,27.69372609,47.15042792,0.30597848,3.2682037,477.1795589,0.002095647,0.137731892,7.26048256,365.7039981,0.002734452,1.304824561,8.67,4.335,6.33,3.165,0.339820224,107.9444024,202.5027387,0.056550088,17.68343859,169.9424852,0.005884344,0.022008332,45.43733811,124.0756553,0.008059599,1.369668246,46.6724,78.44826,113.162,36.67698,46.95006,63.26401,38.4601,122.1755,76.52336,135.0546,115.988
