NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
1,1.69213,14.5784,22.7253,8.32194,2.21805,7.28552,1.15797,12.4202,1.2715,14.8494,23.7008,0.649024,3.32513,6.899,29.2698,23.7374,8.24441,2.13467,36.5419,4.30305
2,2.10369,14.4843,23.1595,8.35994,2.00688,7.14045,0.978464,12.3736,1.40197,14.9061,23.5816,0.54806,3.43411,6.84134,32.5227,23.7114,8.15135,1.98435,37.3663,4.39319
3,1.25419,14.6254,22.6333,8.48819,2.15356,7.36034,1.49548,12.3753,1.77888,14.6865,23.8571,0.584244,3.19605,6.81882,38.0724,24.1213,8.2118,2.12866,37.7004,5.00709
4,3.36132,14.8635,23.2791,8.48013,2.28759,7.49476,1.39737,12.5462,1.26617,13.9459,23.6184,0.585475,3.54633,6.89155,31.1247,23.2825,8.23694,2.22518,37.2842,3.88473
5,2.52279,14.9277,21.9196,8.44497,2.22418,7.48557,1.12193,12.4125,1.86895,13.8611,23.5911,0.578861,3.30908,7.17966,37.4239,23.9906,8.24038,2.09773,36.016,5.28061
6,3.33465,14.6639,23.2283,8.43043,2.21789,7.21817,1.58192,12.5848,1.44496,12.9651,23.4542,0.668963,3.30418,6.76542,35.7953,24.0497,8.19954,1.9658,37.3559,5.12066
7,3.63696,14.5473,22.2487,8.48842,2.02538,7.17113,1.45218,12.4472,1.16554,13.7435,23.7221,0.805871,3.44665,6.95586,38.5863,23.1668,8.33809,2.31193,35.3827,4.57821
8,2.12663,14.4177,22.6952,8.45728,2.10515,7.64886,1.38054,12.2366,1.3366,15.5815,23.5919,0.757455,3.29267,7.1796,35.6966,22.9537,8.40587,1.98426,38.55,4.14476
9,3.71164,14.9013,23.4583,8.4949,2.0815,7.15059,2.08699,12.4668,2.25853,14.7978,23.6128,0.756015,3.41829,6.84665,37.1196,23.4158,8.36284,2.25208,35.998,5.63483
10,1.23439,15.252,23.4776,8.60358,1.86988,7.2382,1.45518,12.4214,1.70636,12.5752,23.6508,0.545971,3.5174,6.85208,35.9983,23.2657,8.0308,2.09996,38.391,5.18104
11,2.0243,14.797,23.6459,8.48051,2.16863,7.89125,1.58861,12.7486,1.07044,15.3695,23.5876,0.799884,3.42069,6.84201,31.6866,23.1619,8.14495,1.86126,38.4828,5.6397
12,3.52534,14.3802,22.0263,8.36784,2.13059,7.10085,2.36034,12.3262,1.10008,16.116,23.6972,0.695778,3.58948,6.87989,34.3008,23.9161,8.48968,2.28746,36.9259,4.50791
13,1.33612,15.2897,22.9248,8.29966,1.86054,7.14025,1.20466,12.4415,1.47741,13.9808,23.9224,0.817834,3.49787,7.13293,38.6281,24.6899,8.52409,2.3045,36.733,5.14489
14,2.08591,14.2803,23.7537,8.55602,2.29955,7.36007,2.1551,12.3301,2.15248,14.7235,23.6954,0.663561,3.384,6.8603,39.1903,23.623,8.43295,2.035,38.3697,5.5945
15,2.43632,14.5027,21.9908,8.53674,2.30853,7.87362,1.00399,12.881,2.15809,15.8418,23.4209,0.728109,3.79633,7.1684,38.6474,24.6231,8.30992,2.1672,36.1552,6.00321
16,3.155,15.2037,22.5641,8.43816,1.96411,7.31338,1.32924,12.8566,1.09279,16.3198,23.6391,0.982444,4.0505,7.44969,39.4141,23.2843,8.50709,2.13514,37.7274,5.80225
17,4.05083,15.2845,22.7872,8.46306,2.1483,7.98106,1.72655,12.3531,0.937579,13.6244,23.4834,0.494801,3.90043,7.42617,36.6863,24.3719,8.53285,2.48737,36.5088,6.04321
18,1.26658,14.3239,23.8245,8.80058,2.24846,7.15529,1.24596,12.3631,1.95607,12.3196,23.8081,0.602062,3.54135,6.77007,36.8252,24.9384,8.40552,1.96748,38.9153,4.448
19,1.29287,15.5458,21.1915,8.51865,2.18896,7.82818,1.19145,12.3215,2.50779,15.917,23.686,0.928264,3.56495,6.88015,37.9696,24.6997,8.37672,2.52571,35.8447,5.9645
20,3.3519,14.623,22.157,8.719,1.93726,7.99983,2.03446,12.4063,1.6838,16.48,23.9285,0.876526,3.55399,6.67181,38.8082,24.4866,8.15074,1.88067,38.4996,6.42344
21,3.51083,15.0439,21.8156,8.6916,2.302,7.96396,2.17964,12.2782,1.37825,13.9287,23.8902,1.01497,3.54188,6.86808,36.0379,24.3554,8.51407,2.39725,37.7983,4.14465
22,3.86824,14.8487,21.3244,8.46347,1.76687,7.91475,2.17478,12.658,1.22824,16.0657,23.4664,0.565544,3.27087,7.40175,37.1944,22.1186,8.2759,2.03916,38.602,4.90923
23,4.57475,14.6056,24.291,8.43968,2.3401,7.68942,1.04418,12.3685,2.53961,15.8396,23.5946,0.917809,3.88347,7.60154,37.1472,23.9778,8.42197,1.82704,37.7709,5.70835
24,2.70297,15.4604,21.9103,8.68315,1.97138,7.18144,1.12006,12.7087,2.03948,13.4477,23.6416,1.06991,3.42733,7.19296,36.0927,22.7716,8.50963,2.56427,39.1805,6.4823
25,2.94111,15.5248,23.1438,8.9306,2.13114,7.92615,1.47728,12.6516,1.80794,14.9034,23.6101,0.580533,3.70972,6.86665,39.1768,22.2539,8.18178,2.32947,36.9479,6.11954
26,4.04687,14.3425,24.0365,8.59014,2.1369,8.03479,2.22893,12.5984,1.47571,12.9243,24.1253,0.787845,3.79158,6.84316,34.609,22.5581,7.94406,2.55919,37.052,6.30895
27,3.86444,14.2513,24.0885,8.42903,2.29467,7.88465,1.31228,12.3121,2.67276,13.1878,23.4175,1.10361,4.46646,6.95483,38.5101,24.8764,7.80415,2.01779,36.0036,5.31104
28,4.09436,15.1172,22.7892,8.52251,1.93498,7.87857,2.68005,12.8285,2.46938,15.6463,23.9496,0.598919,3.71928,7.71418,30.0265,25.0207,8.11692,2.41595,39.4101,6.24488
29,2.0362,15.4949,23.8889,8.62565,2.0758,7.91332,1.97694,12.322,1.47608,12.9493,23.7141,0.761129,3.72958,7.78859,34.6258,22.9527,7.90757,1.79338,38.4433,6.08201
30,3.9736,15.6154,23.5776,8.49703,1.84343,7.94992,2.72755,12.4767,2.46271,14.7449,23.8544,1.09586,3.80051,7.08575,27.6657,24.505,8.33749,2.57138,39.6361,6.42275
31,4.23837,14.133,24.5265,8.49214,2.03846,7.7518,2.7338,12.9255,1.196,15.6983,23.2502,0.799868,3.75729,6.87398,38.8018,23.3433,8.46007,2.026,39.0997,6.56896
32,4.18371,15.163,21.5345,8.32147,2.36185,7.87913,1.65834,12.1563,2.3226,17.0854,23.9517,1.18614,3.47238,7.54981,34.5663,24.8639,8.18178,2.56031,37.6552,6.33114
33,4.40543,15.8052,23.2801,8.43069,2.39509,7.886,3.86468,12.7201,1.81196,16.5925,23.7501,1.03955,3.85722,6.75362,36.1216,24.0516,8.52869,2.18959,37.2314,6.44139
34,4.40023,15.0356,22.2766,8.3659,2.25447,7.02479,2.0981,12.5777,0.754065,16.7997,23.4658,0.635817,3.43522,6.79398,34.7208,22.7152,8.41135,2.64284,35.3783,6.39384
35,2.70049,15.2982,23.9036,8.23172,2.40481,7.82674,1.23307,12.5382,1.05436,16.2204,24.0975,0.660311,4.48633,6.9123,34.6784,22.5034,7.90123,2.42704,37.8499,6.65692
36,1.32409,14.2082,24.6572,8.91076,1.97182,7.94044,2.58418,12.9969,2.96519,15.391,23.8541,0.805595,4.44059,7.88944,36.1605,22.4963,8.13575,1.97975,36.2494,6.48451
