NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
1,3.56198,41.2075,32.2091,27.9972,30.1135,33.7199,5.98063,47.8974,3.56245,111.995,28.4518,6.26906,16.0537,20.2026,61.8672,42.5634,11.255,5.9857,95.0617,43.7292
2,4.87467,41.9415,32.466,27.9544,30.2158,33.7785,5.59589,47.3359,3.94586,111.95,28.5394,5.44705,16.8165,19.9424,66.9244,43.9486,11.0228,5.68409,95.7038,44.779
3,2.82496,41.3655,32.9171,28.514,30.6945,33.5876,8.35158,46.934,5.1736,112.961,29.3068,5.6899,15.8085,19.7943,81.7654,42.9028,11.2555,5.96087,95.2871,46.7719
4,7.79964,40.8088,33.7517,28.4735,30.3567,34.0788,7.99526,49.0766,3.39958,112.88,28.0135,5.26884,17.258,20.0573,66.7255,43.0206,11.1293,6.13857,96.5704,42.7364
5,5.60446,41.243,33.8537,28.3606,30.7512,33.7184,7.0802,47.6768,5.33241,113.839,28.6939,5.35627,15.9006,21.0536,83.9642,44.0561,11.3436,5.93957,91.7557,49.2931
6,8.11072,41.7777,32.6922,28.5453,29.8146,33.6046,6.8449,48.8416,4.21302,114.156,29.0082,5.8818,15.9896,19.5997,82.5747,41.5772,10.9932,5.65375,92.9717,48.277
7,8.36549,41.415,33.6716,28.3956,30.1193,34.1115,8.92514,48.0543,3.23682,114.195,27.9918,8.11218,16.1921,20.3967,83.0939,44.3909,11.504,6.34874,91.705,46.7545
8,4.34283,41.6007,33.8323,28.532,31.1788,34.3072,6.06763,46.1914,3.55283,111.768,28.7668,7.55292,16.169,20.9993,73.7357,43.8062,11.2837,5.68418,97.9442,44.8562
9,8.48552,41.6626,31.954,28.874,30.0159,34.123,10.7887,47.9732,6.46301,111.142,29.8424,5.54463,16.4287,19.6872,82.3662,42.0741,11.3445,6.25679,93.2675,49.6089
10,2.60162,41.8539,31.6761,29.3255,29.0785,34.0292,6.81164,46.7009,4.78256,113.981,29.5375,4.88162,16.3423,19.8471,83.3047,42.5829,10.8144,5.90958,94.8079,51.0969
11,4.94355,41.4158,31.6888,28.1501,31.1652,32.3088,10.3582,49.8933,2.84739,112.661,27.97,8.14386,16.2746,19.8181,64.3773,45.2645,11.0442,5.43154,95.6243,49.8097
12,7.79515,41.8687,32.8128,28.1728,29.8095,33.8379,13.3677,47.1052,2.87465,110.729,27.4561,6.86878,16.935,20.0361,67.744,41.3295,11.2258,6.20867,96.6395,48.7341
13,2.68888,41.2618,33.6164,27.9631,29.3882,33.4061,7.61818,46.1404,4.17235,112.842,29.9858,6.53337,17.4654,20.897,81.3291,41.6868,11.8739,6.27364,97.1124,50.162
14,4.62091,41.4265,32.6216,28.53,31.0217,34.0234,13.2813,46.846,6.1285,114.276,29.9525,6.05686,16.3406,19.8833,78.1723,45.6548,11.7294,5.85287,97.6137,51.2872
15,5.39211,42.4016,33.8594,28.2193,30.2194,32.6866,6.05857,50.9363,6.11642,109.814,26.6975,6.78578,18.3662,21.0647,79.1737,43.1844,11.483,5.98875,96.1655,54.9193
16,7.07742,41.0117,32.175,27.9371,30.4265,33.375,6.20498,51.1956,2.82112,106.4,27.6634,10.1471,19.7536,21.9234,80.4289,41.5283,11.4234,6.05764,92.7137,50.6167
17,9.57884,41.7113,33.4253,28.1279,30.3046,35.0518,11.4774,46.8042,2.16976,114.093,27.07,4.4495,19.0992,21.7609,80.9127,45.6928,11.4149,6.67369,92.1563,52.8602
18,2.60864,42.08,31.6497,29.6585,31.2952,34.4915,5.98691,47.6981,5.56037,113.207,28.8048,5.84682,17.5033,19.4291,72.7381,43.8293,11.5604,5.70855,96.6113,47.5839
19,2.59003,41.5197,34.1197,28.2719,29.6583,34.6047,6.98921,53.6317,7.14233,111.656,27.4526,10.0066,16.461,19.8127,83.6453,42.1302,11.0082,6.66742,93.1148,56.9194
20,8.07489,42.4468,32.5026,29.1098,29.3676,34.1157,13.5162,53.0855,4.63805,108.859,28.6027,9.15632,16.9244,19.2288,82.0018,40.7589,10.7472,5.50985,93.8183,56.9884
21,7.80793,42.0811,33.1268,28.8623,29.9215,33.6258,14.1595,45.9427,3.67948,111.303,30.0668,10.1405,16.558,19.8513,83.6893,46.0677,11.3195,6.52818,97.64,47.0244
22,9.52301,42.1506,33.9155,28.1992,28.5399,33.2987,11.0258,49.2475,3.00991,104.223,27.1812,5.01353,16.0405,21.8782,84.4755,43.7866,11.3015,5.80802,99.4386,50.5603
23,10.4248,41.929,31.8007,27.9153,30.7146,34.604,6.26389,53.5202,7.2735,111.272,26.7845,9.97308,18.6074,22.5094,78.2968,41.5573,11.8529,5.38023,91.0007,53.5193
24,6.49989,41.7081,33.9471,29.7798,29.5657,34.5881,7.0925,50.3021,5.85484,112.476,29.0368,9.74368,16.8708,20.9579,83.4579,42.368,11.8457,6.75892,94.9275,58.5716
25,6.2572,41.2857,31.9634,30.2918,29.4635,35.0437,9.91983,53.3443,5.12994,109.498,30.1101,5.32552,17.573,19.885,79.8003,42.904,10.8679,6.44993,90.9337,51.3313
26,9.3159,42.4549,31.4935,28.7278,31.7739,34.7785,15.166,49.5535,3.75121,113.448,29.5727,8.1644,17.9507,19.6013,83.7421,44.6219,10.347,6.7433,99.0185,52.8326
27,8.69871,42.313,32.9757,27.8637,32.1345,31.6133,5.90675,53.2071,7.6553,114.296,26.9126,12.0565,21.7685,20.3184,76.5767,40.9929,10.0512,5.68796,95.9004,54.677
28,9.48875,42.1533,33.6473,28.87,30.445,31.9707,14.6945,51.5779,7.07551,108.32,30.0367,5.80846,17.592,22.6877,62.6661,45.5218,10.6144,6.47844,95.2997,59.9473
29,4.76891,41.3516,33.6009,29.3461,29.7692,31.9589,13.3618,47.7739,4.10915,113.685,26.6665,5.95483,17.0477,23.1358,75.5167,45.5828,10.3259,5.33717,91.3645,53.7889
30,9.4189,40.9973,31.026,27.884,29.6228,33.1141,15.9839,53.1153,7.00832,112.984,30.9473,11.6778,17.5773,20.7138,60.917,40.3456,10.9831,6.79532,97.7371,58.4887
