NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
1,6.46393,66.4373,71.5607,42.3738,33.9175,46.3255,7.95107,69.357,5.73347,137.706,69.4873,7.36211,21.8059,32.1154,112.53,83.6708,25.531,9.67235,158.331,50.9998
2,8.482,67.0113,72.573,42.3998,33.6241,46.1317,7.2184,68.7173,6.34443,137.753,69.3761,6.36296,22.759,31.7601,123.23,85.0127,25.137,9.10979,160.398,52.2343
3,4.94634,66.6775,72.1034,43.1757,34.3716,46.3203,10.9011,68.3176,8.23964,138.388,70.6203,6.67948,21.3382,31.5675,147.672,84.6776,25.4735,9.63566,160.565,55.2688
4,13.5741,66.5393,74.0505,43.1228,34.2825,47.0469,10.3691,70.743,5.56318,137.025,68.9088,6.25859,23.3936,31.9537,120.569,83.3411,25.3915,9.98025,161.123,49.3109
5,9.90652,67.0835,71.7819,42.9483,34.5563,46.6659,8.98407,69.1179,8.55251,137.833,69.5458,6.33641,21.6234,33.454,148.741,85.6025,25.6122,9.56375,154.113,58.2874
6,13.8444,67.1533,72.9113,43.1038,33.623,46.0914,9.54445,70.5827,6.69036,136.582,69.6278,7.00057,21.7049,31.2778,144.531,83.22,25.1908,9.04839,157.651,56.9297
7,14.6434,66.5929,72.187,43.0536,33.5655,46.5221,11.4057,69.5518,5.22965,137.983,69.0716,9.4887,22.1529,32.4125,149.884,84.5112,25.9418,10.3427,152.968,54.4799
8,7.96509,66.5519,73.1188,43.1428,34.7507,47.5407,8.38547,67.3325,5.83496,138.74,69.6231,8.83944,21.8666,33.3949,135.532,83.5573,25.8388,9.10947,164.695,51.8702
9,14.8731,67.455,72.5784,43.546,33.569,46.494,14.3622,69.5182,10.3616,136.763,70.728,6.81131,22.3427,31.5083,146.621,82.6249,25.8258,10.1484,155.582,59.1601
10,4.64161,68.258,72.333,44.1841,32.2482,46.5543,9.27054,68.1704,7.71446,135.718,70.4983,5.80626,22.4259,31.6818,145.606,82.8748,24.7182,9.53535,161.272,59.9383
11,8.40565,67.0275,72.6352,42.8002,34.8598,45.9586,13.0772,71.9136,4.66601,139.272,68.8107,9.51142,22.1895,31.6234,119.242,85.3746,25.1462,8.64324,162.244,59.4033
12,13.8612,66.7523,70.9471,42.6304,33.457,46.122,17.4161,68.412,4.74218,138.631,68.4905,8.05293,23.1426,31.924,127.138,82.7433,25.9256,10.155,160.581,56.4076
13,4.96595,67.7325,73.2995,42.304,32.5289,45.7546,9.66371,67.6403,6.71215,137.047,71.4087,7.8911,23.5168,33.2086,148.211,84.4459,26.6327,10.2511,160.717,58.8502
14,8.21918,66.1374,73.7539,43.3168,34.9608,46.7604,16.9859,68.1415,9.84092,139.76,70.9869,7.18709,22.1967,31.737,146.032,86.5586,26.3319,9.36868,164.05,60.7237
15,9.58711,67.498,71.9072,42.9718,34.1882,46.3035,7.73984,73.1839,9.84031,137.244,67.2524,8.00044,24.9333,33.4496,146.088,85.827,25.873,9.72782,158.757,65.1946
16,12.5068,67.3335,71.2412,42.507,33.7487,46.0233,8.42856,73.3997,4.66788,134.654,68.5977,11.8313,26.762,34.7871,148.676,81.8516,26.1543,9.74681,158.028,60.4152
17,16.5573,68.1713,72.8709,42.7464,33.9804,48.8596,14.4392,68.1564,3.75968,137.665,67.7297,5.28377,25.8484,34.5819,144.422,87.899,26.1908,10.9716,155.361,63.1765
18,4.76435,66.8633,72.9095,44.8557,35.1367,46.8727,8.07436,69.045,8.93774,134.503,70.0354,6.86092,23.631,31.1124,136.504,87.0156,26.1143,9.10651,163.98,55.1041
19,4.79212,68.435,70.7848,42.9944,33.4164,48.1501,9.00669,74.9153,11.473,139.204,68.4597,11.5942,22.6244,31.6936,149.366,84.9036,25.5127,11.0285,155.161,67.1352
20,13.858,67.7497,70.8619,44.1667,32.6613,47.9545,17.0177,74.5105,7.51686,137.393,70.0389,10.6526,23.0676,30.738,149.181,83.1645,24.8596,8.75768,160.477,68.0033
21,13.8564,68.1207,70.8899,43.8709,33.8806,47.4012,17.9124,67.1527,6.04322,135.416,71.4407,11.8796,22.6811,31.7176,146.054,88.2413,26.0615,10.6698,163.088,54.0591
22,16.1895,67.8486,70.8127,42.8259,31.5198,46.9884,14.7325,71.1214,5.10553,132.034,67.8174,5.96586,21.7018,34.6617,148.851,82.0908,25.6321,9.33066,166.286,58.8668
23,18.3236,67.2059,73.8662,42.4993,34.7319,47.9101,8.0257,74.8912,11.6611,138.677,67.6349,11.5391,25.3229,35.6364,142.597,83.0796,26.4369,8.53482,156.381,63.1624
24,11.1186,68.4739,71.8709,44.7761,32.9238,47.0173,8.9953,72.2436,9.3599,135.746,69.9792,11.5648,22.8024,33.3681,145.927,81.8052,26.5795,11.188,162.768,69.7066
25,11.3116,68.1661,72.0403,45.7161,33.1151,48.7559,12.4435,75.1988,8.24912,135.301,70.9948,6.28446,23.9861,31.7523,147.638,81.4428,25.0335,10.4756,154.907,61.7269
26,16.2938,67.2684,73.1175,43.5587,35.3936,48.6771,19.0103,71.303,6.2831,135.81,71.3458,9.49643,24.5082,31.4213,143.612,83.6868,24.1014,11.1607,163.176,63.4804
27,15.3599,66.9683,74.6823,42.4337,36.0506,45.2516,8.10336,74.4709,12.2722,137.113,67.4578,13.9515,29.4966,32.3365,143.258,84.0746,23.563,9.16821,158.232,63.7524
28,16.5524,68.3184,73.0805,43.5955,33.7081,45.5993,19.2934,73.7285,11.3339,135.413,71.512,6.81357,24.0264,36.0068,114.648,88.8508,24.6683,10.6478,163.541,70.668
29,8.25146,68.1766,74.9546,44.2466,33.3178,45.6448,16.7592,69.0439,6.64995,136.089,67.7217,7.20923,23.4971,36.5871,135.409,85.3247,24.0174,8.43368,157.92,64.0567
30,16.2771,68.034,71.8588,42.5626,32.7277,46.8641,20.6737,74.6728,11.2635,138.5,72.2545,13.5591,24.1477,32.9578,108.788,82.7791,25.4197,11.239,166.37,69.5365
31,17.8418,66.0945,74.079,42.4951,34.6896,44.2839,21.6052,74.312,5.43245,139.407,67.3945,8.05202,23.7139,31.5499,149.666,82.2912,25.88,9.39724,161.038,67.366
32,17.0989,67.1392,71.7797,41.7305,35.8474,45.9764,10.9774,66.8715,10.5656,136.23,72.4662,14.9299,22.7597,35.0697,142.842,89.2886,25.4499,11.0816,162.723,62.3333
33,17.9921,68.6545,73.1186,42.8121,34.3104,45.0174,26.7056,72.5806,8.30433,138.91,71.541,12.8941,24.61,31.0405,146.233,89.1213,25.9866,10.0427,155.121,62.7965
34,18.3472,67.6854,73.2138,42.0111,35.9922,46.3029,18.4315,68.1488,2.91906,138.159,68.3233,6.64657,22.6273,31.3335,128.16,81.1643,26.4941,11.3566,154.266,63.7067
35,11.4239,68.3717,72.2255,41.4412,35.6634,44.4288,7.6754,75.4011,4.58013,131.096,72.0365,6.83834,29.3459,31.8863,143.624,81.8912,23.8376,10.8095,164.351,67.9594
36,4.88036,67.0397,73.7462,45.9921,34.2496,47.4737,21.5582,74.5003,13.5926,132.923,69.0231,9.85066,29.3395,36.9438,131.15,84.4927,24.7015,9.20737,151.63,69.1309
37,3.98033,67.6284,71.0898,42.4374,31.3731,46.7587,20.8784,70.0489,13.0994,137.963,68.0276,14.5156,22.0649,36.0383,151.276,88.9906,25.518,11.103,155.613,66.638
