NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
1,5.21428,14.7879,16.9219,9.00091,12.7984,11.4601,6.5709,6.34206,2.58006,11.4118,14.8139,4.40897,2.28543,10.015,18.8382,23.5651,7.82083,2.79538,19.1365,19.6533
2,4.83351,14.1697,20.7427,8.91004,15.4738,12.9703,7.90563,5.76671,2.83553,9.13923,14.6964,4.68955,1.92662,9.70849,28.9892,22.4755,6.54105,2.96804,18.7598,18.0844
3,4.82632,16.0361,16.1085,10.6103,14.2714,13.5945,8.70706,6.89568,2.81517,14.4575,17.4834,4.8306,2.29069,10.8682,45.0605,26.5544,6.93084,3.03131,20.0363,24.7517
4,8.65666,18.1744,20.4548,10.7433,11.5041,10.9781,9.37238,9.989,2.94569,8.79469,14.2959,4.38253,1.72871,11.1213,20.5258,19.0863,7.35901,2.73952,23.5163,14.843
5,7.63111,16.827,16.2474,11.0764,12.8313,14.7239,9.67518,8.44167,3.20914,8.96079,18.4104,4.66199,2.27932,9.11651,43.4406,23.5527,8.38592,2.91722,14.8156,25.3738
6,8.33535,16.2163,20.619,11.582,12.1153,14.2023,5.49288,7.08804,2.4885,10.98,13.9853,5.23076,2.53055,11.7435,40.4196,26.5195,6.40214,3.05468,14.0643,25.9662
7,6.33986,12.3544,15.2515,12.5807,15.4176,10.7038,10.8251,9.55971,2.48033,9.27892,16.5247,5.37535,2.83393,8.73751,41.3437,17.586,7.64923,2.61049,17.5832,21.5619
8,7.20505,12.1525,15.9893,8.27384,14.5536,12.6581,6.69123,8.86786,3.36051,12.9572,19.2889,5.31531,2.47729,10.4434,35.2004,16.4178,7.49267,3.28105,34.1713,17.058
9,9.39532,14.5376,19.3297,9.00294,15.6124,12.1566,8.34009,4.46556,3.28149,7.86705,18.0713,5.47176,2.91713,11.984,47.7141,19.8119,8.36704,2.69594,17.2116,30.9397
10,4.99479,17.65,24.8216,10.0026,16.8207,9.5521,5.96522,5.23597,3.50405,14.5799,14.3576,4.67824,3.05761,10.6275,35.544,18.0994,5.54149,3.32979,23.0405,20.4008
11,5.25733,18.6987,22.4182,11.2342,14.0329,11.467,12.5454,7.94515,2.4242,23.53,11.9482,5.43216,2.56824,12.3417,28.172,17.3094,5.7884,3.15066,28.5415,30.9346
12,9.14296,11.7255,12.7462,7.19942,13.6998,15.3193,12.1069,4.27283,2.53497,16.7489,15.2214,5.06644,3.18972,8.76553,38.3949,25.0368,7.44902,2.82212,29.3961,15.0891
13,4.92343,20.2887,19.6904,6.74988,16.8259,15.9885,9.66627,6.26114,2.45678,11.957,19.1786,6.59783,2.11775,11.7643,54.9401,32.3272,7.12486,2.47695,23.8154,25.2555
14,4.50622,10.2165,25.1716,9.5229,11.2594,8.89064,13.7817,10.1905,3.69152,18.4482,17.5717,4.37295,3.0945,9.42672,52.2725,20.0202,8.03105,3.04034,33.1142,29.8994
15,5.61039,13.2991,18.0568,9.85738,10.603,13.2754,9.38236,8.47198,2.81339,8.93391,14.2613,5.50942,1.66583,7.87133,45.5406,29.481,8.9478,3.23647,19.9541,28.9722
16,7.24719,21.6171,14.2038,13.093,15.9988,16.1921,6.97567,8.23969,3.31777,11.7852,18.6479,5.89666,1.41845,10.0809,53.7401,18.3961,8.73195,2.82926,13.3253,33.1393
17,9.54146,15.3886,21.6309,12.0333,14.2789,11.2284,13.1632,4.3734,2.94886,11.1586,12.6431,4.73112,1.88801,11.2474,51.6223,25.1651,8.47434,2.45819,15.1483,32.7806
18,5.31576,10.7577,19.488,12.9998,12.8963,12.2746,6.10946,11.3838,2.49849,15.9826,21.1481,5.11852,2.36126,12.9396,44.5301,30.5259,6.40084,3.27121,40.3184,19.6052
19,5.24346,19.4349,13.236,7.81591,12.8614,10.6659,9.48065,4.63517,3.82678,22.1032,11.3063,5.96958,3.56754,11.7138,36.0665,31.7814,7.25067,2.58635,16.9683,24.8578
20,6.1315,15.3595,11.9235,13.2078,16.7462,11.4408,14.7863,7.51342,3.78871,16.8133,20.686,5.71666,3.20275,13.1342,40.9346,30.71,7.46391,3.35312,22.2029,32.5387
21,8.29782,13.2381,11.7836,13.4919,10.9974,10.7177,14.9534,9.67597,2.47634,14.8017,14.4671,6.59906,3.19432,10.3814,45.2006,23.9473,7.98466,2.48041,39.2625,14.5398
22,9.10543,17.3275,12.1046,7.08696,17.9378,13.268,8.47437,4.72652,2.7903,8.73456,18.5283,5.7278,3.10803,8.6285,32.1072,11.2625,9.11994,3.69486,43.1662,22.3251
23,8.58841,10.3434,24.2616,9.88697,10.0758,10.5957,8.72487,3.02068,3.11238,26.3383,15.672,5.7162,1.966,9.3735,33.6361,22.95,8.20825,3.50426,14.3012,28.9888
24,7.554,16.4191,12.4361,7.7925,16.5412,9.20517,8.78702,12.1216,3.95611,12.924,22.495,7.66779,2.76143,13.0319,30.3219,13.4733,7.18387,2.28738,34.8907,31.5132
25,8.30823,22.1565,15.6326,10.9667,14.1547,13.0944,12.0253,4.04911,2.31641,9.88122,21.265,5.96809,3.39858,8.42944,56.6695,11.4334,5.36898,2.6501,12.6539,37.0555
26,9.33331,13.1494,26.6622,14.3593,14.13,13.2844,16.0258,12.6245,3.15173,17.5318,11.9305,5.53091,2.6442,11.5839,30.8152,12.5947,6.75999,3.02262,27.7593,37.4481
27,8.70335,11.076,26.084,7.93364,12.5713,9.71111,5.90683,9.80419,3.64672,17.0449,10.5972,6.33839,1.31832,8.04146,48.7792,33.8002,6.20874,3.48117,20.044,17.6377
28,8.59565,12.0088,22.7744,6.00381,16.6642,9.75811,11.2718,11.1529,4.21437,6.87096,24.4847,5.19886,3.55668,11.1039,19.1219,30.1537,8.29342,3.4375,38.4646,24.4069
29,5.49896,16.745,25.3763,6.83814,15.5005,12.1353,14.5252,13.2068,2.3419,12.1726,17.0468,7.43317,3.81195,9.59986,23.3327,15.3177,7.97365,3.49502,18.4619,33.9138
30,7.59451,20.0425,18.0584,12.0063,17.3191,11.1089,13.5115,2.86983,2.63218,23.6338,20.0567,7.01737,3.67194,7.52322,11.9597,29.5069,8.23589,2.15873,45.7283,30.0338
31,9.79426,8.61458,23.9596,10.6598,15.2627,14.0292,15.3767,8.32915,3.48349,32.7455,9.9576,6.49611,4.1657,13.1029,57.6242,16.6937,6.49926,3.24761,31.5666,37.2748
32,8.87906,22.6957,14.7591,14.4017,11.3355,14.169,7.53622,11.8272,2.34737,25.2019,17.3552,6.06489,3.84401,12.5246,26.8051,28.2212,9.24826,2.10998,42.3189,39.5872
33,9.65294,22.3611,26.1753,5.62575,9.57746,12.0701,15.9086,12.1739,4.01752,29.757,24.0436,5.63703,3.64643,10.4591,46.0861,20.3252,6.63424,3.06691,12.7495,40.8567
34,9.67542,20.1686,18.2565,8.39998,13.2024,15.0413,15.715,6.6109,2.71606,25.0822,22.4108,5.51055,3.30398,9.11407,34.68,12.698,7.32554,2.41465,20.4618,38.4927
35,5.42971,13.3043,28.7187,6.3017,10.0668,11.8327,6.04177,5.49928,2.4377,8.41626,24.0901,5.36901,1.37841,13.8863,32.6578,11.1265,7.32106,2.40468,42.9456,37.0949
36,5.47648,9.79007,24.3289,8.60958,15.9208,14.432,16.543,5.39805,3.45378,9.51942,9.71117,5.55253,1.76428,11.3639,45.4607,11.9865,6.06659,3.55999,15.1802,31.0244
37,4.08332,17.5307,14.2543,6.22148,18.2751,8.17277,17.0658,13.0906,4.36289,28.4897,20.0529,8.49729,3.80453,8.44547,29.3922,35.293,6.36764,2.17611,19.4348,37.2898
38,8.14985,16.5766,28.5448,14.8396,17.1036,12.3526,11.7849,4.16145,4.60207,22.1546,23.5666,4.68444,1.21266,7.72486,53.3193,17.19,9.15638,3.91793,54.8573,16.1791
39,9.96985,8.99058,27.1824,14.7847,9.12396,9.36148,8.65103,8.54425,2.95171,27.4399,16.1325,6.36273,3.85584,11.6378,35.3866,27.1328,8.32531,3.96477,52.2557,41.1166
40,9.42572,22.0023,11.541,12.456,10.2599,16.2547,13.9087,10.4414,3.11256,17.3949,11.4866,5.73015,4.52781,7.07221,9.29037,37.4154,5.47022,2.93562,28.6108,14.2539
41,7.09537,14.918,21.6836,5.11042,15.4661,9.85952,7.69736,9.73389,2.49925,38.7589,9.93448,8.02622,2.75544,10.0433,48.7999,24.565,9.16375,1.971,21.9258,39.674
42,6.35274,9.98522,9.95185,6.5202,11.834,15.4783,17.6111,7.02355,4.14908,23.9492,25.0612,5.15695,1.97986,14.2122,14.423,37.0428,9.32143,3.67509,40.2748,40.2895
43,9.7779,9.12681,29.6828,13.7993,17.8135,9.03208,9.72093,8.69026,2.25058,17.1895,9.37252,7.25091,2.44979,6.71669,63.8482,34.3314,4.87561,3.75687,25.1642,35.7704
44,10.0584,19.8841,16.1836,14.2593,14.3259,13.6593,16.7824,2.64554,1.9945,17.7992,10.9166,12.9921,4.73849,9.51608,26.701,21.2614,7.54554,4.3184,55.8076,22.7084
45,5.52152,11.1575,8.43558,12.0637,15.735,8.89771,18.0378,3.85491,2.0317,11.2134,26.0017,9.07012,2.01894,11.5679,63.0013,35.8891,9.61933,3.61387,34.9598,35.4071
46,5.03715,12.8986,30.2026,15.795,8.85451,14.2294,7.25703,7.40085,2.22132,23.2858,13.0204,9.66647,3.21614,12.9804,36.2285,38.0136,5.69152,2.98655,21.7974,51.4042
47,8.42959,15.7584,9.05483,15.0004,13.0598,15.4721,18.8669,3.26644,4.26319,17.8187,23.3385,6.45364,4.70563,10.4538,59.8036,33.5155,6.84783,1.8504,25.672,46.114
48,6.1196,24.814,12.5427,9.38001,17.6459,15.5546,5.9056,10.3999,5.01853,21.9954,10.1655,5.31398,3.88469,10.6322,59.4849,31.3989,8.5476,2.68545,55.9676,25.7661
49,7.31361,19.256,29.4175,10.3584,18.6703,8.34666,16.9537,4.03131,4.69216,33.4546,20.7855,6.07696,1.07326,11.3256,24.1227,30.1654,4.86271,1.72037,58.079,41.5255
50,3.83964,7.82911,14.1911,8.2808,14.6348,15.2046,14.723,4.81741,2.04345,39.0328,12.7385,4.88111,4.43201,9.90283,62.2485,23.9173,4.7439,4.10586,21.3188,53.0965
51,7.22803,10.2601,10.5331,12.8333,17.7607,8.41158,17.4438,5.44376,4.83143,37.079,25.6452,7.59846,3.03193,14.1372,47.3093,32.6903,8.99977,3.52025,55.712,55.0494
52,5.53304,24.5282,9.33804,10.1573,17.1714,10.8746,19.4596,12.4358,2.53483,8.93185,19.0475,7.97473,4.17231,12.818,24.4595,37.0222,9.22125,3.85598,14.4724,44.3564
53,9.79612,24.4719,9.47239,15.4209,11.7908,17.0921,12.5174,7.76837,2.23803,39.4972,18.9018,5.12152,1.86406,9.34998,65.6992,25.9758,9.2059,3.76947,52.874,18.0935
54,9.70495,18.3344,27.1276,4.66904,14.2708,6.45869,5.69702,4.76916,3.82424,42.5455,14.8846,9.2504,5.19524,11.6483,59.6323,13.2735,9.64807,2.30889,29.682,56.1774
55,10.4613,23.9007,25.1497,6.43683,10.973,6.61582,18.9986,6.76256,5.05819,16.4611,21.9757,5.46839,3.99156,7.15463,66.8376,17.4813,4.86598,3.84494,30.3633,51.5196
56,10.8406,13.1643,20.9499,9.18625,8.76392,18.0663,12.3748,3.09855,4.39555,42.4847,24.8433,9.04106,4.48113,8.14148,21.7341,38.0769,5.25036,2.01129,27.8607,49.3467
