NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
1,1.54948,12.5894,11.4153,9.245,3.95773,8.4604,1.32083,12.7439,1.17985,17.7561,12.8207,0.541908,4.05614,6.72956,17.6668,14.2258,7.31462,1.76997,15.5557,4.34359
2,2.12176,11.5501,11.3671,9.27946,3.70569,8.34362,1.12597,12.715,1.299,18.1556,12.2763,0.428983,4.24987,6.69033,18.6342,13.9203,7.22978,1.65456,17.168,4.44094
3,1.2218,12.0533,11.0832,9.39935,3.90687,8.54004,1.71898,12.6818,1.63751,16.9336,12.5338,0.460697,3.95284,6.61219,18.1471,13.9724,7.28631,1.77401,17.7404,5.01036
4,3.13504,12.5648,10.6254,9.38048,4.07376,8.6593,1.6029,12.7769,1.1996,16.9026,13.4016,0.490133,4.37528,6.67003,17.9041,14.1168,7.30317,1.83988,16.4732,3.96773
5,2.30399,13.1041,9.67295,9.33008,4.00801,8.66488,1.30476,12.6753,1.73507,16.3269,13.2788,0.446701,4.01482,7.05747,17.3125,13.4298,7.32095,1.74541,16.5557,5.28025
6,3.13078,11.3997,11.0211,9.31468,3.94968,8.41539,1.78077,12.8928,1.33598,15.263,11.82,0.620484,4.03558,6.51656,15.5512,14.3576,7.26351,1.64386,18.3764,5.13339
7,3.59792,12.9022,10.2109,9.34152,3.71312,8.37057,1.68433,12.6835,1.09027,15.9262,13.8846,0.625233,4.15258,6.84796,19.1682,13.4671,7.41581,1.9065,15.6424,4.62886
8,1.90302,12.1841,10.6738,9.43029,3.89494,8.82372,1.55339,12.4796,1.29539,19.211,12.7548,0.621462,4.0867,6.99587,19.791,13.8875,7.45077,1.665,17.5317,4.22811
9,3.4553,13.5052,12.0084,9.46565,3.75879,8.37446,2.38214,12.8564,2.08687,18.6807,11.7114,0.739334,4.18569,6.59673,16.6505,14.4479,7.41863,1.86039,15.097,5.6082
10,1.10642,13.8475,11.2023,9.56801,3.46023,8.41042,1.64692,12.7834,1.60747,14.6681,11.5862,0.40501,4.21144,6.66562,16.4965,14.2846,7.10593,1.7619,19.3642,5.21884
11,2.05744,11.7722,11.7768,9.35415,3.96488,8.92388,1.85692,13.0404,0.989631,17.7936,12.4608,0.607394,4.11921,6.56367,19.2793,13.1992,7.219,1.55901,18.6056,5.60554
12,3.27898,11.216,10.948,9.3516,3.82239,8.34616,2.71583,12.7495,1.02514,20.0834,14.4359,0.501515,4.33256,6.77389,20.0306,14.7002,7.5341,1.89365,15.0121,4.59899
13,1.25556,13.5051,10.2088,9.27757,3.47039,8.3627,1.40596,12.763,1.38112,17.4082,12.1817,0.778615,4.38436,6.88943,17.9064,14.1936,7.58675,1.89233,14.5029,5.18502
14,2.01457,12.3485,10.9751,9.48263,4.13849,8.51464,2.50201,12.5412,2.0042,16.6155,11.0431,0.497995,4.17129,6.72978,19.8488,12.9189,7.52653,1.69874,17.1171,5.59672
15,2.28207,11.065,9.41156,9.44108,4.10298,8.93921,1.16069,13.1724,1.98906,20.3938,14.6962,0.584095,4.68129,7.10392,20.3156,13.8383,7.40637,1.8108,14.2536,5.99006
16,3.01806,12.8691,11.7259,9.25704,3.66861,8.51044,1.50121,13.1548,1.09117,21.3507,14.4663,0.773303,5.0476,7.29032,19.3175,14.9561,7.55113,1.76993,19.7514,5.76981
17,3.80042,14.1057,9.75614,9.31115,3.86841,9.14073,2.0272,12.7556,0.937799,15.3899,14.1435,0.37739,4.88138,7.21487,15.6189,13.179,7.57126,2.04219,17.5481,6.00206
18,1.16044,11.7699,12.8115,9.70298,4.07332,8.41142,1.41269,12.5485,1.80529,14.3405,13.6172,0.453042,4.43861,6.46908,20.3417,13.614,7.46386,1.65365,18.2558,4.53372
19,1.17449,14.1758,9.31761,9.47902,3.88798,8.98345,1.37796,12.7586,2.32373,18.8717,13.2612,0.716333,4.23313,6.6513,18.8339,13.9839,7.43704,2.08233,14.7619,5.98293
20,3.32998,10.9903,11.4373,9.58565,3.54485,9.11266,2.3878,12.7545,1.61112,21.5915,14.1415,0.656821,4.30941,6.3549,19.4978,14.6543,7.23797,1.58529,20.2999,6.39128
21,3.32446,13.7969,10.6055,9.54286,4.06347,9.04789,2.54907,12.4995,1.29672,17.6175,10.813,0.859001,4.21804,6.70329,14.8236,12.7267,7.55445,1.96734,15.7677,4.26454
22,3.64267,11.3867,9.72465,9.44288,3.29662,9.01037,2.48,13.0501,1.1657,20.5424,14.9557,0.469368,4.05904,7.30673,18.005,13.7518,7.35282,1.72753,16.5257,4.98674
23,4.43951,13.1429,12.4283,9.32672,4.18365,8.8575,1.20863,12.8549,2.33399,18.439,15.3741,0.67898,4.75599,7.47569,19.7289,15.3902,7.54009,1.546,20.7686,5.74088
24,2.51191,14.3153,10.2866,9.73138,3.59029,8.39857,1.30923,12.8997,1.92149,15.0358,13.0063,0.987401,4.2882,6.89544,16.9954,14.5879,7.61774,2.09802,19.655,6.4589
25,2.71361,13.9306,12.3961,9.91863,3.78823,9.10911,1.73823,13.0969,1.67117,19.2845,11.1353,0.470579,4.51726,6.78387,18.5677,14.0107,7.23847,1.91799,19.309,6.05144
26,3.81385,10.6145,11.6621,9.41668,3.97982,9.19739,2.62705,12.7706,1.39149,15.6308,11.4213,0.578566,4.57617,6.62685,14.7747,13.4134,7.06347,2.1298,14.105,6.26068
27,3.66684,10.7547,10.9286,9.37016,4.18984,8.8646,1.48026,12.6049,2.46484,16.1962,13.7935,0.878255,5.59882,6.88567,20.6964,14.3853,6.94887,1.68782,13.841,5.38485
28,3.91802,13.9128,9.41693,9.57546,3.6323,8.87864,3.07798,13.0546,2.3046,20.9868,12.5546,0.457118,4.55551,7.51516,18.9642,12.9942,7.22351,2.02551,20.3287,6.27306
29,1.95242,14.5534,10.6946,9.6803,3.73234,8.93099,2.32907,12.4649,1.37536,14.5209,16.0883,0.771063,4.42974,7.65444,19.0494,12.8069,7.04065,1.51762,21.4574,6.07092
30,3.85256,14.433,13.1392,9.33319,3.4615,9.0127,3.15503,12.9838,2.25669,16.1796,10.6342,0.903607,4.55185,7.03878,16.8527,15.1668,7.40949,2.09657,19.1108,6.40789
31,3.99094,11.8879,13.0219,9.35973,3.82003,8.74146,3.18172,13.2305,1.17693,17.2698,11.8786,0.782015,4.44013,6.57994,17.4433,15.539,7.49501,1.69728,21.0243,6.50564
