NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha
1,1.83865,14.4463,22.2939,8.39468,2.18646,7.20592,1.17569,12.5785,1.24856,16.022,23.9895,0.628156,3.34813,6.91878,29.0775,23.9075
2,2.31186,14.3471,22.7084,8.43183,1.96424,7.06253,0.993802,12.5322,1.37647,16.0846,23.8885,0.530476,3.46383,6.86005,32.3768,23.8841
3,1.37071,14.4911,22.1838,8.56477,2.11585,7.28483,1.51857,12.5275,1.74479,15.873,24.0991,0.56557,3.22317,6.84012,37.98,24.3115
4,3.66231,14.7319,22.7876,8.55594,2.26035,7.4143,1.41789,12.6957,1.23996,15.208,23.9079,0.568108,3.57559,6.91375,30.9177,23.4313
5,2.74199,14.7975,21.4183,8.5199,2.19154,7.4121,1.13993,12.5613,1.83171,15.1365,23.7909,0.561437,3.32946,7.19773,37.3116,24.1752
6,3.63582,14.5242,22.76,8.50853,2.18929,7.14307,1.60535,12.7442,1.41698,14.3002,23.7844,0.649007,3.32771,6.78864,35.6516,24.231
7,3.99017,14.4164,21.7678,8.56643,1.98354,7.08818,1.47522,12.5942,1.14321,15.0195,23.9566,0.779002,3.46601,6.97281,38.4536,23.3159
8,2.30627,14.2833,22.2217,8.53129,2.06495,7.57101,1.40065,12.3776,1.3039,16.7107,23.7796,0.732226,3.32278,7.20057,35.5647,23.0923
9,4.04332,14.7714,23.0329,8.57115,2.04002,7.06938,2.11923,12.6347,2.21363,15.9843,23.8522,0.736747,3.44444,6.86993,37.0526,23.5615
10,1.33796,15.1226,23.0165,8.68245,1.8234,7.1545,1.4774,12.5798,1.66965,13.9408,23.9891,0.530201,3.53466,6.8724,35.8002,23.405
11,2.22571,14.6611,23.2066,8.55429,2.13083,7.82059,1.61514,12.9093,1.05406,16.49,23.9455,0.772991,3.43867,6.86681,31.5466,23.3129
12,3.84004,14.2407,21.5924,8.43951,2.09607,7.02525,2.3973,12.4957,1.08256,17.2037,23.9454,0.673474,3.61061,6.89649,34.2129,24.0857
13,1.45519,15.1601,22.424,8.36986,1.81328,7.06763,1.22507,12.5926,1.44721,15.2492,24.1379,0.79578,3.53333,7.15668,38.629,24.9056
14,2.28154,14.1485,23.2698,8.62899,2.27223,7.27598,2.18987,12.469,2.10782,15.9142,23.9571,0.643966,3.4129,6.87794,39.1637,23.7944
15,2.65533,14.3589,21.4705,8.6086,2.28509,7.80428,1.01969,13.0451,2.11706,16.9599,23.6777,0.706169,3.82728,7.18373,38.5704,24.8348
16,3.44739,15.0728,22.1482,8.51285,1.91918,7.24227,1.34856,13.0232,1.06208,17.3557,23.8173,0.948503,4.08901,7.47007,39.3945,23.4185
17,4.41669,15.1575,22.2666,8.53661,2.11128,7.90019,1.75654,12.5182,0.913545,14.8979,23.7861,0.480398,3.93997,7.44896,36.6677,24.5747
18,1.37452,14.1864,23.4133,8.88348,2.21509,7.07212,1.26497,12.5015,1.9186,13.7072,23.954,0.583131,3.57805,6.79565,36.7613,25.1624
19,1.40202,15.419,20.6905,8.58911,2.15863,7.74695,1.21068,12.5221,2.45636,17.007,24.0375,0.895004,3.57885,6.90244,37.7844,24.9192
20,3.67851,14.4763,21.738,8.7982,1.8917,7.92279,2.06946,12.5925,1.64408,17.5244,24.0771,0.846397,3.57686,6.69808,38.6823,24.6841
21,3.83203,14.9145,21.3698,8.76954,2.27791,7.88776,2.2163,12.4148,1.35173,15.1851,24.2567,0.980618,3.55631,6.88733,35.9357,24.5559
22,4.21923,14.7055,20.8455,8.53377,1.71653,7.84308,2.20891,12.8301,1.20646,17.1049,23.6349,0.54933,3.30106,7.41903,36.9725,22.2257
23,5.00776,14.4753,23.8553,8.5101,2.31774,7.60752,1.06069,12.5747,2.49039,16.9194,23.8164,0.884969,3.91179,7.62071,36.9815,24.1331
24,2.94343,15.3352,21.4427,8.76084,1.92709,7.09388,1.13929,12.8575,1.99283,14.7226,23.759,1.03653,3.46247,7.21934,35.8448,22.8829
25,3.20077,15.3968,22.7338,9.01342,2.09602,7.84767,1.50336,12.8497,1.77334,16.0886,23.7722,0.563799,3.7363,6.88203,39.1913,22.358
26,4.4146,14.1937,23.5808,8.67105,2.09741,7.95783,2.26834,12.7419,1.44912,14.2801,24.5477,0.761349,3.8126,6.86471,34.3499,22.6758
27,4.21895,14.106,23.5845,8.49799,2.26186,7.81417,1.33173,12.4921,2.61893,14.5339,23.7731,1.06305,4.51213,6.96986,38.4614,25.0933
28,4.4742,14.9899,22.2472,8.59513,1.88741,7.80674,2.72251,12.987,2.41532,16.7665,24.032,0.580201,3.74918,7.73698,29.8323,25.2571
29,2.22366,15.3727,23.3709,8.70071,2.03561,7.84511,2.01208,12.4556,1.44752,14.2672,23.9052,0.741075,3.74501,7.8086,34.3931,23.0923
30,4.34867,15.4933,23.1848,8.56913,1.79428,7.87612,2.772,12.6836,2.41708,15.9153,24.0656,1.05631,3.8199,7.1,27.4188,24.6904
31,4.62292,13.9988,24.1015,8.56232,1.99531,7.6897,2.77923,13.0963,1.16221,16.7858,23.668,0.776697,3.76976,6.89933,38.8239,23.4679
32,4.56841,15.03,21.0088,8.39547,2.33375,7.81255,1.68436,12.2856,2.28036,18.0591,24.2551,1.14272,3.50235,7.57528,34.2674,25.0955
