NodeNo.,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
1,4.48849,13.4201,8.71411,24.6563,23.2815,21.8861,6.7504,31.0156,3.82042,34.5873,8.54504,7.35675,14.7342,19.118,13.9032,11.9389,8.71354,7.22829,15.9765,42.2985
2,6.40298,13.1235,8.57819,25.0064,22.4494,21.4685,5.90959,31.0485,4.25453,35.4576,7.95892,6.34643,15.4041,19.1634,14.9615,11.5858,8.60349,6.85147,17.7622,43.0076
3,3.67393,13.247,8.43707,24.5732,23.2243,22.1505,9.06006,31.2817,5.52407,33.7887,8.35053,6.67393,14.5465,18.9909,15.2812,11.7526,8.52977,7.32785,18.7484,45.5202
4,9.46513,13.4023,8.10116,24.8838,23.4937,22.6529,8.70129,31.2573,3.7663,33.9235,8.86833,6.28321,15.7307,19.0041,14.521,11.7449,8.85844,7.52717,17.0734,40.8513
5,6.91858,13.8629,7.35485,25.1391,23.4846,22.6673,7.39664,31.3206,5.77369,33.3087,8.87513,6.32474,14.419,19.6573,14.7002,11.2278,8.56088,7.07984,16.5966,47.5539
6,9.57848,12.8578,8.27684,24.2518,23.2281,21.7279,8.24339,31.1409,4.47021,31.8424,7.70256,7.00299,14.7997,18.7554,13.3926,12.1412,8.90979,6.73063,19.0547,47.4036
7,10.8929,13.6784,7.80265,24.4952,22.6257,21.4881,9.44681,31.1057,3.50704,32.5005,9.18167,9.54082,14.9034,19.3295,16.0665,11.3039,8.51871,7.6909,15.7262,45.5325
8,5.58599,13.2686,8.18568,24.7915,22.9762,23.2253,7.14022,31.2713,4.02468,36.2913,8.55728,8.86124,14.9949,19.6194,16.0105,11.4836,9.26704,6.89917,18.7492,43.2006
9,10.433,14.1262,9.14316,24.6472,22.8235,21.2851,12.2632,30.8212,6.94546,35.9159,7.73697,6.82383,15.4138,19.1399,13.986,12.3525,9.03498,7.47529,15.1154,48.8442
10,3.17897,14.4948,8.32216,24.719,21.668,21.8023,7.97344,31.5132,5.24896,31.1326,7.54563,5.77492,14.9594,19.3148,13.9901,12.1259,8.57296,7.30167,20.2257,48.7933
