NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
1,4.13658,17.8237,14.7944,2.28334,11.9232,9.31559,8.29397,67.402,1.63502,26.6762,16.6852,6.18971,2.89775,5.03775,21.1774,19.3251,7.91527,1.85484,23.3689,22.655
2,4.52797,17.5576,14.8831,2.26009,15.8532,10.8963,9.8605,67.0771,1.89244,27.1359,16.8065,6.83367,4.23057,4.50283,21.1356,19.1817,7.60708,2.26003,24.7735,20.216
3,4.37985,17.3198,14.9141,3.7902,13.9122,10.7196,10.2997,67.0621,1.28658,25.9899,17.2581,7.03235,4.03089,6.18526,17.6438,19.3057,7.85194,2.3641,24.4622,27.9718
4,6.92421,17.0232,15.4254,3.63339,9.95763,8.51434,10.9393,68.4212,2.30266,28.659,17.5983,6.27677,3.77644,6.58998,21.2221,19.2791,7.65987,1.89914,24.0292,18.0412
5,6.45027,17.6711,14.481,3.75892,11.8459,11.6257,11.7434,67.5848,1.73378,28.1285,17.5928,6.88936,2.56213,3.81896,17.7994,18.4925,8.31351,1.91062,25.8057,28.1903
6,6.69985,16.6975,14.9586,4.89134,10.9491,11.6098,7.50951,68.1572,1.16719,29.0683,16.5367,7.14717,3.08859,7.49961,16.5915,18.9068,7.45195,2.25237,25.8597,30.0144
7,4.73255,18.6576,14.653,5.82341,15.7873,9.64873,12.8134,67.5914,1.55791,27.6291,17.8531,7.77213,1.96213,3.29326,18.7076,18.7791,8.34162,1.48783,26.0952,25.4676
8,6.35381,18.5429,15.204,2.6983,14.349,9.29758,8.78256,66.5149,2.56115,27.09,17.4791,7.52523,4.8727,5.56934,20.778,19.3146,7.51522,2.76257,24.6,20.8831
9,7.27704,18.61,14.962,2.69233,16.055,10.6455,9.67719,67.2483,1.46365,28.5547,17.2944,7.27839,3.75449,7.6231,16.3855,19.0435,7.92012,1.46658,24.4579,35.7446
10,4.75518,18.0124,14.0605,3.52399,17.9981,8.53641,7.57055,67.1807,2.35507,29.2235,16.8525,6.94085,1.94357,5.62682,17.392,19.0936,7.6801,2.83729,25.2269,21.5988
11,4.55008,16.6048,14.8374,3.96827,13.5099,6.74872,14.7405,69.0568,1.93346,27.3542,16.5902,7.91003,2.56423,8.36697,22.0383,19.0183,7.95802,2.59161,25.04,35.4272
12,7.23396,18.5895,15.297,3.04487,13.3398,13.3122,13.5716,66.5511,1.87549,27.4723,17.4592,7.54058,2.04592,3.09142,21.1452,19.1563,7.26251,2.23843,23.5449,17.2212
13,4.57094,17.4866,14.6042,3.54612,17.9573,13.683,11.769,66.9192,1.12513,30.4376,17.5895,9.05562,5.49725,7.45596,17.3414,19.5945,8.6403,1.65626,22.5091,29.7605
14,3.7214,20.1002,14.7513,1.941,9.46323,7.65419,15.5695,67.0344,2.13408,26.6022,16.6605,6.51529,4.72695,3.90724,18.5606,19.068,8.74272,2.06798,24.7594,35.0063
