NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.unica,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
1,0.878878,7.91253,6.52016,6.26213,6.0591,7.01196,4.54784,9.29393,1.71537,11.7192,6.93904,3.73146,4.13829,8.12181,9.663,8.80297,7.11187,1.1765,8.96063,9.9074
2,1.15637,7.81359,6.56179,6.46301,7.87813,7.40438,5.60804,9.51925,1.7018,11.8552,7.02482,4.01552,4.57289,6.9402,9.64404,8.7454,6.94917,1.17111,9.49936,8.19258
3,0.842614,7.7012,6.58123,6.11626,6.87118,7.37785,5.78682,8.93202,2.38548,11.4722,7.19349,4.02428,4.11738,7.33182,8.05158,8.8002,6.91766,1.08661,9.37905,13.4709
4,3.07714,7.56349,6.81623,5.97834,5.24864,6.98139,6.01217,8.69711,1.17476,12.6322,7.29332,3.74006,4.88897,7.81164,9.68393,8.78484,7.32994,1.0396,9.21348,7.63668
5,2.60775,7.82863,6.40789,5.88038,6.00113,7.76453,6.59837,8.70718,2.27419,12.4308,7.28769,4.03845,4.7035,9.11045,8.12161,8.43418,7.15356,1.31487,9.89749,13.4769
6,3.39875,7.44378,6.60241,5.96786,5.57569,7.59071,4.03404,9.30874,2.16834,12.903,6.92285,4.47597,3.88062,7.49586,7.56999,8.60513,7.38397,1.36951,9.91621,14.528
7,1.75791,8.26763,6.47947,5.99473,7.85218,7.26639,7.03902,8.56537,1.57923,12.2469,7.3679,4.36958,4.24941,8.24407,8.53705,8.56485,7.09702,1.24415,10.0082,11.5126
8,2.39642,8.24098,6.71756,6.61174,7.17761,7.04426,4.68489,8.44934,1.19551,11.7762,7.26566,4.45935,4.41535,8.34845,9.48181,8.80571,7.45751,1.25954,9.42993,9.19253
9,3.01271,8.2308,6.58522,6.43434,8.04041,7.39799,5.01676,10.1656,2.88358,12.4309,7.23592,4.718,3.72654,7.32474,7.4765,8.66109,7.51123,1.31808,9.37983,18.6258
10,1.83156,7.9555,6.20236,6.33233,8.96355,7.03157,3.82147,9.71103,1.89754,12.9895,7.06572,3.98528,4.67123,6.73131,7.93548,8.69011,7.16173,1.17582,9.66932,8.63706
11,0.930385,7.39537,6.53526,6.00685,6.71552,6.6665,7.98544,9.33689,1.11919,12.0832,6.92451,4.33377,5.45745,7.78536,10.0553,8.67675,6.9867,1.35914,9.59818,18.4982
12,2.89584,8.28688,6.75213,7.12674,6.7277,8.18647,7.09191,10.819,1.36177,11.8826,7.15929,4.08896,3.74606,6.53339,9.64999,8.7101,7.45817,0.977558,9.02759,6.30303
13,1.21739,7.74761,6.45872,7.69336,8.93823,8.32432,6.64237,9.21719,2.0346,13.3801,7.34761,5.66196,5.09052,8.01996,7.91427,8.92904,7.13134,1.06361,8.63075,13.9959
14,1.12534,8.92654,6.51466,6.17936,5.04537,6.86595,8.20477,8.44649,2.64977,11.7839,6.9832,3.76759,3.98251,6.18142,8.47249,8.70273,7.12561,1.4324,9.49184,17.6597
15,0.987997,7.45344,6.43691,6.25802,4.70045,7.01303,6.6029,9.27875,2.88689,12.0654,6.91396,4.72572,5.96728,9.33768,9.372,8.62372,7.18808,1.04975,9.0852,15.7877
16,1.89951,7.64329,6.77134,6.35804,8.25885,8.26103,4.44496,9.40144,1.0152,11.3239,7.31633,4.73964,5.98737,8.70703,8.43114,8.84008,7.62468,1.37309,10.0951,20.5667
17,3.39599,8.22902,6.37872,5.93078,7.02741,7.02981,8.65206,10.4656,0.876101,11.9226,7.35729,4.00693,5.59131,8.08292,7.06186,8.66782,7.63104,1.37404,10.562,19.6172
18,1.21889,8.60133,7.04629,6.17398,5.90506,7.59367,3.81242,8.47873,2.70697,13.5674,7.74004,4.11135,5.32079,7.71029,9.0126,8.5093,7.06007,1.58173,9.7507,11.0206
19,1.11986,8.02728,6.41992,6.80824,6.11178,6.91638,6.7181,10.1366,3.19437,11.6153,7.21689,4.64801,4.83684,6.90312,8.70259,8.6459,7.58634,1.06119,9.40291,11.4705
20,1.64318,7.33645,6.87119,6.28126,8.96621,6.91032,9.25249,9.67668,1.8541,11.609,7.60818,4.39802,3.57903,7.82237,8.77118,8.71667,7.55602,1.57252,9.39036,18.7268
21,2.79938,8.35571,6.75761,6.39124,4.87871,6.78686,8.96406,8.21534,1.65654,14.1764,6.74478,5.40888,5.41195,6.094,7.04332,8.43804,7.66491,1.43806,9.57743,8.66326
22,3.80262,7.27663,6.53539,7.47887,9.87941,7.151,4.5016,10.2845,1.31332,11.8039,7.36689,4.90835,4.54482,8.96241,8.84796,9.08608,7.38164,1.4962,9.78055,12.51
23,2.35794,9.02507,6.76337,6.5314,4.47274,6.983,6.56457,10.6914,3.41795,12.1681,7.08104,4.3339,7.04064,8.88908,9.2784,9.01774,7.1913,1.51004,10.3029,16.8368
24,2.98019,8.26872,6.74465,7.40163,8.74368,7.24959,6.51935,8.83317,2.47481,11.9563,7.79168,6.40478,5.18503,8.25152,8.53989,8.83856,6.98364,1.28491,9.73266,17.6645
25,2.85771,7.94127,6.94365,6.4159,7.18083,7.1737,8.32181,10.5057,2.55393,13.4173,7.35566,5.14901,3.51351,5.88707,7.92401,8.99584,7.55726,1.50558,10.9005,23.7331
26,2.79969,7.64846,6.18354,6.4335,6.83301,7.41011,10.3378,8.73951,1.24467,14.2224,6.96857,4.28443,7.06883,6.37966,7.72426,8.79618,7.35701,0.89894,9.04237,24.1721
27,2.42786,7.99112,6.70204,7.20466,5.67603,6.46047,3.91113,9.35919,3.48912,14.0564,7.47069,4.90959,7.50188,6.80496,9.24992,8.75972,7.2851,1.24959,8.96373,5.87332
28,2.37775,8.681,6.59053,8.24893,8.76826,6.47533,5.91563,8.98545,3.15677,12.7412,7.79516,4.23491,3.71827,8.20062,10.1349,8.84807,7.61369,1.13174,9.88176,10.9558
29,0.865368,8.41541,6.68712,7.89629,7.9034,6.74852,9.799,8.60898,1.88885,12.0257,7.33892,6.37818,4.45248,8.27833,9.8206,8.63713,7.52349,1.63127,10.0341,20.9405
30,2.11669,8.23822,7.01276,6.16222,9.28329,6.82346,7.29954,11.1618,3.43548,12.2155,7.07228,5.61305,4.15021,8.76786,9.85961,9.05304,7.58969,1.57241,10.3664,16.4176
31,4.19167,9.16087,6.92991,6.23857,7.62417,6.95792,8.68866,9.52531,1.60211,12.6208,7.0289,5.52187,5.32035,7.51297,7.68661,9.06358,7.39329,1.59023,9.65754,23.0982
32,2.61808,7.64206,6.32832,6.9172,5.14734,7.20253,4.19309,8.25086,3.23036,11.74,6.8238,4.44536,4.04444,8.22408,8.09199,8.23063,7.43141,1.19112,9.33341,26.1476
33,3.11456,8.19077,6.18558,8.42664,4.23656,6.68433,9.75952,8.98473,2.29143,12.7368,7.92401,4.15489,6.2637,5.60823,7.05558,8.2768,7.4265,1.55965,10.7902,27.1667
34,3.56478,7.32412,6.35739,7.21645,6.21373,8.26737,10.5604,8.99013,0.847236,12.0198,7.78498,4.86793,5.27806,5.30677,10.0543,8.99447,7.03585,0.888985,9.35783,24.8897
35,1.2302,8.74675,5.83297,8.12536,4.54015,6.62842,3.86435,10.1215,1.15723,11.7797,7.976,4.65952,8.09549,8.3251,7.61032,9.04476,7.25705,1.57378,9.25185,23.1835
36,2.03659,8.20384,7.02865,7.05825,8.17178,7.50389,9.84131,10.3629,4.03023,13.2771,7.24424,4.31092,6.97587,7.9759,9.40914,8.9218,7.58989,1.76649,11.4509,17.8061
37,1.88862,8.36222,7.16389,7.78974,10.2527,7.0958,10.7173,8.65891,3.65242,12.4572,7.64654,6.95146,4.77945,8.49532,9.30693,8.49842,7.58242,1.67217,9.21,23.5951
38,2.4916,7.1278,6.22777,6.53312,9.30915,7.70881,8.59641,11.2755,3.11763,11.2232,7.89239,3.86772,8.78643,8.60129,9.03314,8.3043,7.5328,1.32266,10.6533,10.7498
39,2.9477,8.86139,6.03094,6.7643,4.13769,6.76251,6.80097,9.48466,4.06802,12.3683,7.05082,4.6504,3.75604,6.06487,7.36441,9.00347,7.32958,1.76959,10.1363,27.0483
40,4.52881,8.28737,6.9496,6.45399,4.5829,8.05068,9.73457,9.30725,1.10919,13.45,6.62406,3.98355,4.9928,8.9444,9.81167,8.36536,7.36579,1.62191,9.88739,7.16553
41,2.19506,7.05307,6.98348,8.89629,7.96507,6.53804,5.86762,9.35364,1.1526,13.4131,7.24698,6.30937,6.5381,8.48217,6.93164,8.0592,7.80877,1.58576,11.683,25.2842
42,2.62182,8.42481,7.06639,8.0205,5.34103,7.72627,11.6033,9.81835,4.06162,14.8961,8.15911,4.10062,8.47999,8.31977,10.1217,8.45216,7.52184,1.88328,10.1339,26.4592
